y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25
1.0,0.78,0.605,0.822,0.727,0.831,0.327,0.369,0.524,0.132,0.845,0.922,0.698,0.412,0.22,0.416,0.927,0.548,0.253,0.064,0.443,0.678,0.305,0.51,0.604,0.362
0.0,0.852,0.758,0.101,0.949,0.404,0.342,0.292,0.024,0.425,0.88,0.572,0.348,0.559,0.833,0.444,0.791,0.516,0.557,0.744,0.82,0.865,0.444,0.511,0.528,0.741
1.0,0.415,0.937,0.538,0.284,0.979,0.294,0.638,0.502,0.651,0.873,0.743,0.543,0.286,0.943,0.328,0.833,0.656,0.879,0.953,0.732,0.958,0.72,0.049,0.938,0.296
0.0,0.242,0.987,0.315,0.331,0.592,0.157,0.274,0.168,0.565,0.022,0.993,0.993,0.574,0.327,0.949,0.155,0.064,0.088,0.97,0.121,0.516,0.365,0.281,0.882,0.172
1.0,0.742,0.775,0.564,0.281,0.986,0.945,0.183,0.789,0.261,0.083,0.666,0.584,0.12,0.333,0.096,0.517,0.796,0.863,0.968,0.25,0.703,0.497,0.38,0.834,0.099
0.0,0.732,0.953,0.532,0.951,0.888,0.698,0.786,0.887,0.324,0.011,0.633,0.915,0.324,0.248,0.454,0.444,0.898,0.238,0.521,0.752,0.09,0.14,0.149,0.551,0.96
0.0,0.536,0.689,0.014,1.0,0.929,0.274,0.245,0.676,0.04,0.723,0.956,0.794,0.882,0.673,0.608,0.19,0.796,0.556,0.008,0.474,0.174,0.642,0.301,0.684,0.334
1.0,0.176,0.383,0.695,0.52,0.901,0.205,0.944,0.929,0.595,0.927,0.34,0.195,0.44,0.781,0.68,0.432,0.341,0.218,0.559,0.536,0.473,0.168,0.781,0.231,0.543
1.0,0.546,0.654,0.465,0.516,0.005,0.285,0.772,0.226,0.148,0.816,0.456,0.322,0.8,0.724,0.954,0.158,0.04,0.264,0.351,0.451,0.305,0.564,0.45,0.316,0.577
1.0,0.516,0.44,0.39,0.253,0.207,0.775,0.94,0.827,0.414,0.392,0.962,0.362,0.252,0.377,0.739,0.285,0.945,0.342,0.435,0.069,0.808,0.531,0.497,0.112,0.879
0.0,0.743,0.862,0.329,0.371,0.447,0.767,0.544,0.571,0.182,0.856,0.02,0.698,0.014,0.217,0.227,0.712,0.908,0.008,0.576,0.043,0.259,0.448,0.572,0.939,0.706
1.0,0.99,0.562,0.625,0.06,0.653,0.193,0.975,0.145,0.512,0.843,0.731,0.616,0.195,0.597,0.452,0.604,0.63,0.467,0.736,0.983,0.094,0.351,0.7,0.04,0.831
1.0,0.164,0.481,0.802,0.567,0.561,0.056,0.197,0.921,0.157,0.91,0.302,0.892,0.934,0.684,0.36,0.954,0.98,0.794,0.708,0.443,0.896,0.362,0.325,0.507,0.376
0.0,0.802,0.596,0.296,0.911,0.097,0.769,0.339,0.271,0.049,0.298,0.048,0.389,0.292,0.44,0.095,0.429,0.988,0.013,0.733,0.409,0.063,0.108,0.854,0.577,0.477
1.0,0.466,0.64,0.899,0.543,0.013,0.426,0.684,0.424,0.236,0.395,0.915,0.238,0.994,0.686,0.307,0.659,0.943,0.361,0.431,0.81,0.068,0.462,0.816,0.182,0.938
0.0,0.364,0.152,0.942,0.301,0.314,0.674,0.963,0.841,0.361,0.539,0.329,0.847,0.124,0.817,0.624,0.993,0.622,0.607,0.853,0.114,0.126,0.719,0.947,0.689,0.924
0.0,0.373,0.476,0.507,0.186,0.916,0.691,0.68,0.342,0.271,0.938,0.625,0.877,0.487,0.478,0.88,0.227,0.209,0.721,0.974,0.401,0.523,0.839,0.691,0.855,0.549
1.0,0.601,0.008,0.313,0.359,0.807,0.606,0.216,0.056,0.454,0.818,0.144,0.101,0.081,0.162,0.407,0.94,0.801,0.643,0.621,0.313,0.903,0.586,0.211,0.25,0.383
0.0,0.737,0.454,0.898,0.678,0.54,0.506,0.179,0.207,0.846,0.287,0.778,0.037,0.078,0.521,0.77,0.223,0.011,0.286,0.359,0.164,0.547,0.865,0.742,0.67,0.991
0.0,0.659,0.461,0.076,0.887,0.279,0.575,0.679,0.808,0.719,0.784,0.845,0.233,0.265,0.071,0.901,0.187,0.278,0.861,0.462,0.246,0.523,0.575,0.832,0.566,0.248
1.0,0.284,0.983,0.182,0.767,0.497,0.756,0.077,0.815,0.019,0.697,0.808,0.23,0.657,0.438,0.398,0.261,0.197,0.5,0.977,0.809,0.401,0.726,0.07,0.864,0.792
1.0,0.87,0.623,0.135,0.477,0.984,0.757,0.429,0.317,0.013,0.021,0.915,0.723,0.161,0.512,0.903,0.169,0.861,0.622,0.615,0.815,0.559,0.319,0.018,0.459,0.443
0.0,0.756,0.348,0.628,0.729,0.247,0.135,0.412,0.874,0.068,0.947,0.989,0.085,0.246,0.33,0.976,0.971,0.602,0.26,0.077,0.89,0.553,0.924,0.166,0.324,0.528
1.0,0.119,0.796,0.038,0.651,0.908,0.017,0.255,0.88,0.619,0.835,0.177,0.34,0.372,0.332,0.174,0.134,0.783,0.159,0.806,0.776,0.23,0.401,0.981,0.81,0.92
0.0,0.389,0.858,0.803,0.843,0.656,0.128,0.069,0.501,0.165,0.879,0.947,0.075,0.003,0.804,0.814,0.382,0.572,0.147,0.967,0.904,0.612,0.456,0.882,0.582,0.577
0.0,0.537,0.022,0.281,0.97,0.428,0.569,0.254,0.827,0.731,0.25,0.704,0.306,0.98,0.626,0.571,0.666,0.696,0.188,0.611,0.473,0.967,0.951,0.679,0.731,0.574
0.0,0.244,0.262,0.067,0.871,0.462,0.579,0.823,0.927,0.614,0.473,0.224,0.357,0.518,0.94,0.416,0.774,0.996,0.078,0.397,0.852,0.084,0.256,0.36,0.666,0.934
0.0,0.581,0.658,0.397,0.801,0.354,0.391,0.432,0.859,0.751,0.448,0.284,0.521,0.713,0.999,0.613,0.058,0.331,0.258,0.812,0.859,0.416,0.931,0.286,0.275,0.248
1.0,0.257,0.437,0.145,0.491,0.115,0.423,0.059,0.471,0.796,0.273,0.786,0.273,0.929,0.555,0.658,0.279,0.408,0.704,0.193,0.887,0.147,0.559,0.852,0.787,0.434
1.0,0.726,0.156,0.188,0.298,0.679,0.181,0.23,0.692,0.006,0.81,0.766,0.044,0.325,0.229,0.999,0.061,0.545,0.548,0.499,0.318,0.912,0.681,0.762,0.927,0.589
0.0,0.806,0.17,0.124,0.913,0.07,0.102,0.892,0.027,0.664,0.856,0.201,0.391,0.629,0.811,0.986,0.374,0.596,0.82,0.463,0.412,0.239,0.514,0.112,0.757,0.92
0.0,0.532,0.225,0.258,0.234,0.786,0.086,0.692,0.664,0.103,0.124,0.476,0.539,0.188,0.342,0.805,0.728,0.812,0.882,0.029,0.873,0.221,0.984,0.65,0.07,0.869
0.0,0.159,0.398,0.19,0.611,0.464,0.072,0.122,0.042,0.321,0.304,0.311,0.817,0.947,0.497,0.462,0.211,0.455,0.252,0.323,0.669,0.988,0.549,0.424,0.659,0.242
0.0,0.19,0.335,0.011,0.94,0.21,0.087,0.088,0.392,0.212,0.313,0.87,0.042,0.045,0.229,0.718,0.077,0.608,0.683,0.23,0.768,0.711,0.28,0.872,0.254,0.171
1.0,0.628,0.753,0.166,0.161,0.789,0.791,0.959,0.133,0.406,0.626,0.376,0.218,0.821,0.716,0.581,0.785,0.124,0.023,0.209,0.822,0.124,0.291,0.045,0.762,0.156
0.0,0.73,0.635,0.536,0.06,0.731,0.996,0.336,0.535,0.495,0.257,0.07,0.913,0.597,0.637,0.769,0.716,0.498,0.01,0.047,0.341,0.509,0.777,0.429,0.216,0.49
0.0,0.843,0.104,0.119,0.061,0.749,0.731,0.895,0.354,0.203,0.924,0.073,0.981,0.318,1.0,0.691,0.686,0.758,0.698,0.124,0.203,0.173,0.26,0.629,0.997,0.466
1.0,0.455,0.676,0.087,0.417,0.617,0.842,0.629,0.418,0.985,0.378,0.133,0.054,0.391,0.73,0.495,0.626,0.022,0.762,0.53,0.044,0.746,0.586,0.593,0.747,0.603
0.0,0.634,0.616,0.142,0.463,0.838,0.844,0.109,0.589,0.0,0.482,0.634,0.903,0.218,0.079,0.144,0.004,0.852,0.158,0.957,0.376,0.663,0.992,0.973,0.491,0.433
0.0,0.425,0.693,0.4,0.245,0.092,0.363,0.47,0.505,0.179,0.612,0.799,0.166,0.107,0.424,0.131,0.829,0.451,0.706,0.796,0.323,0.787,0.817,0.031,0.648,0.7
0.0,0.113,0.873,0.395,0.922,0.289,0.5,0.584,0.568,0.524,0.239,0.842,0.29,0.798,0.642,0.515,0.406,0.917,0.238,0.271,0.471,0.541,0.598,0.571,0.073,0.388
1.0,0.785,0.034,0.91,0.294,0.214,0.078,0.726,0.816,0.011,0.944,0.642,0.492,0.604,0.187,0.601,0.109,0.936,0.75,0.436,0.898,0.163,0.704,0.971,0.449,0.468
0.0,0.532,0.58,0.72,0.895,0.171,0.664,0.467,0.595,0.984,0.381,0.545,0.887,0.399,0.583,0.187,0.037,0.539,0.255,0.644,0.138,0.174,0.857,0.841,0.352,0.359
1.0,0.922,0.498,0.266,0.054,0.553,0.994,0.59,0.715,0.248,0.962,0.233,0.487,0.728,0.713,0.432,0.275,0.47,0.914,0.086,0.509,0.787,0.13,0.483,0.824,0.817
1.0,0.213,0.216,0.091,0.293,0.806,0.901,0.05,0.653,0.771,0.749,0.626,0.198,0.389,0.775,0.599,0.327,0.749,0.323,0.066,0.249,0.663,0.236,0.636,0.945,0.988
1.0,0.807,0.848,0.401,0.655,0.742,0.263,0.825,0.404,0.459,0.381,0.225,0.346,0.148,0.096,0.443,0.032,0.971,0.892,0.408,0.745,0.309,0.728,0.373,0.175,0.507
1.0,0.566,0.367,0.516,0.31,0.631,0.943,0.764,0.586,0.125,0.965,0.216,0.415,0.352,0.912,0.065,0.994,0.475,0.386,0.458,0.121,0.845,0.404,0.282,0.668,0.416
1.0,0.086,0.129,0.221,0.675,0.27,0.893,0.21,0.635,0.926,0.375,0.427,0.522,0.88,0.052,0.924,0.451,0.151,0.626,0.705,0.538,0.446,0.351,0.889,0.064,0.899
1.0,0.88,0.175,0.109,0.435,0.41,0.831,0.69,0.497,0.659,0.484,0.655,0.774,0.435,0.9,0.211,0.42,0.335,0.757,0.27,0.191,0.837,0.492,0.223,0.627,0.322
0.0,0.206,0.653,0.146,0.334,0.942,0.113,0.128,0.042,0.277,0.857,0.417,0.857,0.193,0.465,0.553,0.619,0.006,0.542,0.996,0.876,0.573,0.994,0.639,0.557,0.861
0.0,0.735,0.497,0.596,0.873,0.585,0.992,0.294,0.735,0.62,0.56,0.606,0.407,0.352,0.424,0.689,0.504,0.53,0.977,0.536,0.804,0.405,0.346,0.041,0.196,0.672
1.0,0.903,0.291,0.031,0.538,0.373,0.821,0.866,0.71,0.011,0.263,0.435,0.612,0.084,0.608,0.009,0.056,0.487,0.042,0.879,0.407,0.032,0.603,0.183,0.421,0.695
1.0,0.709,0.302,0.802,0.439,0.295,0.615,0.089,0.358,0.471,0.826,0.651,0.001,0.478,0.523,0.987,0.518,0.662,0.435,0.456,0.371,0.61,0.367,0.043,0.028,0.287
1.0,0.898,0.246,0.035,0.566,0.693,0.377,0.263,0.44,0.39,0.833,0.51,0.542,0.816,0.019,0.823,0.203,0.56,0.182,0.655,0.044,0.843,0.375,0.5,0.73,0.025
1.0,0.359,0.506,0.329,0.365,0.743,0.885,0.411,0.553,0.544,0.728,0.29,0.546,0.942,0.171,0.125,0.12,0.949,0.7,0.438,0.428,0.662,0.105,0.526,0.505,0.534
0.0,0.111,0.738,0.83,0.418,0.8,0.787,0.195,0.668,0.565,0.323,0.113,0.893,0.626,0.299,0.376,0.406,0.84,0.794,0.433,0.132,0.295,0.438,0.654,0.084,0.991
1.0,0.739,0.24,0.0,0.136,0.938,0.216,0.053,0.273,0.779,0.017,0.351,0.458,0.243,0.234,0.396,0.099,0.848,0.357,0.95,0.64,0.844,0.294,0.039,0.363,0.943
0.0,0.215,0.98,0.791,0.646,0.044,0.11,0.41,0.093,0.625,0.659,0.865,0.843,0.425,0.753,0.382,0.366,0.755,0.08,0.087,0.128,0.768,0.806,0.217,0.172,0.1
1.0,0.885,0.091,0.844,0.41,0.763,0.141,0.954,0.699,0.347,0.794,0.266,0.493,0.814,0.643,0.37,0.714,0.437,0.111,0.057,0.183,0.128,0.002,0.803,0.965,0.119
0.0,0.007,0.526,0.571,0.052,0.46,0.836,0.704,0.386,0.823,0.691,0.167,0.454,0.595,0.657,0.097,0.285,0.498,0.872,0.64,0.828,0.29,0.778,0.958,0.872,0.093
0.0,0.363,0.88,0.019,0.012,0.915,0.422,0.51,0.407,0.617,0.723,0.677,0.441,0.098,0.076,0.668,0.899,0.092,0.618,0.914,0.126,0.108,0.919,0.595,0.645,0.964
1.0,0.863,0.753,0.935,0.074,0.185,0.065,0.136,0.526,0.523,0.524,0.435,0.674,0.973,0.949,0.358,0.928,0.088,0.496,0.13,0.704,0.209,0.445,0.964,0.779,0.208
0.0,0.779,0.388,0.985,0.099,0.203,0.805,0.855,0.961,0.391,0.063,0.781,0.729,0.756,0.405,0.52,0.379,0.222,0.517,0.232,0.001,0.254,0.898,0.438,0.894,0.855
0.0,0.983,0.696,0.875,0.094,0.461,0.633,0.507,0.227,0.688,0.039,0.949,0.0,0.848,0.011,0.054,0.893,0.708,0.101,0.65,0.819,0.717,0.787,0.79,0.438,0.456
0.0,0.681,0.269,0.174,0.878,0.815,0.727,0.716,0.07,0.505,0.826,0.289,0.437,0.959,0.685,0.962,0.108,0.654,0.057,0.087,0.29,0.572,0.203,0.087,0.977,0.889
0.0,0.365,0.474,0.589,0.007,0.538,0.369,0.92,0.524,0.958,0.133,0.374,0.814,0.544,0.446,0.963,0.839,0.649,0.692,0.814,0.63,0.035,0.353,0.258,0.595,0.974
0.0,0.72,0.483,0.13,0.276,0.236,0.998,0.587,0.785,0.276,0.895,0.465,0.211,0.55,0.208,0.199,0.196,0.95,0.446,0.884,0.687,0.51,0.876,0.526,0.791,0.969
1.0,0.44,0.0,0.547,0.431,0.146,0.525,0.26,0.73,0.317,0.458,0.352,0.405,0.448,0.789,0.336,0.063,0.169,0.528,0.147,0.252,0.677,0.437,0.151,0.253,0.341
1.0,0.872,0.932,0.315,0.113,0.135,0.558,0.944,0.432,0.895,0.448,0.095,0.479,0.449,0.824,0.642,0.199,0.056,0.029,0.999,0.637,0.499,0.37,0.216,0.372,0.789
0.0,0.69,0.69,0.08,0.679,0.618,0.976,0.452,0.723,0.137,0.539,0.369,0.98,0.521,0.334,0.482,0.954,0.191,0.438,0.242,0.04,0.113,0.51,0.256,0.655,0.538
0.0,0.316,0.83,0.816,0.534,0.284,0.384,0.686,0.19,0.723,0.565,0.667,0.965,0.271,0.248,0.954,0.393,0.891,0.795,0.381,0.361,0.052,0.745,0.976,0.604,0.439
1.0,0.752,0.18,0.982,0.032,0.423,0.559,0.658,0.894,0.111,0.43,0.771,0.611,0.1,0.751,0.894,0.231,0.198,0.815,0.375,0.374,0.306,0.148,0.867,0.405,0.259
0.0,0.805,0.381,0.869,0.838,0.961,0.078,0.6,0.834,0.682,0.184,0.799,0.515,0.293,0.666,0.848,0.432,0.528,0.135,0.201,0.793,0.875,0.591,0.844,0.87,0.837
0.0,0.409,0.948,0.963,0.99,0.894,0.178,0.389,0.421,0.838,0.395,0.103,0.086,0.512,0.106,0.253,0.142,0.763,0.431,0.681,0.284,0.428,0.569,0.836,0.235,0.987
1.0,0.383,0.578,0.921,0.015,0.884,0.336,0.957,0.731,0.402,0.952,0.774,0.365,0.952,0.535,0.215,0.905,0.557,0.27,0.306,0.478,0.899,0.346,0.382,0.207,0.636
0.0,0.181,0.52,0.25,0.867,0.145,0.79,0.212,0.041,0.302,0.374,0.007,0.074,0.245,0.17,0.867,0.461,0.879,0.501,0.282,0.514,0.73,0.738,0.549,0.43,0.219
0.0,0.201,0.076,0.1,0.946,0.902,0.091,0.127,0.864,0.573,0.199,0.595,0.949,0.563,0.313,0.68,0.469,0.882,0.277,0.412,0.938,0.238,0.035,0.83,0.148,0.848
1.0,0.39,0.269,0.567,0.028,0.736,0.815,0.554,0.543,0.851,0.23,0.597,0.381,0.343,0.363,0.897,0.176,0.386,0.533,0.8,0.502,0.304,0.467,0.261,0.228,0.943
0.0,0.104,0.645,0.541,0.965,0.164,0.307,0.906,0.805,0.69,0.882,0.767,0.92,0.392,0.725,0.783,0.186,0.555,0.671,0.558,0.82,0.523,0.028,0.188,0.189,0.845
1.0,0.921,0.692,0.446,0.457,0.39,0.341,0.734,0.128,0.826,0.58,0.368,0.024,0.653,0.454,0.66,0.919,0.264,0.555,0.871,0.367,0.401,0.239,0.595,0.397,0.614
1.0,0.965,0.497,0.592,0.144,0.495,0.48,0.438,0.31,0.761,0.061,0.037,0.045,0.219,0.913,0.307,0.496,0.267,0.274,0.384,0.914,0.984,0.738,0.813,0.73,0.209
0.0,0.36,0.543,0.854,0.442,0.511,0.918,0.499,0.766,0.455,0.186,0.322,0.821,0.529,0.515,0.63,0.232,0.084,0.427,0.301,0.891,0.931,0.696,0.661,0.539,0.864
0.0,0.105,0.226,0.141,0.478,0.469,0.907,0.779,0.303,0.874,0.561,0.772,0.014,0.389,0.403,0.702,0.648,0.64,0.346,0.305,0.267,0.189,0.887,0.426,0.233,0.303
0.0,0.776,0.824,0.725,0.527,0.812,0.784,0.203,0.273,0.035,0.098,0.418,0.931,0.486,0.588,0.364,0.283,0.998,0.531,0.61,0.862,0.462,0.663,0.339,0.832,0.553
0.0,0.513,0.645,0.062,0.049,0.549,0.958,0.355,0.652,0.691,0.921,0.565,0.974,0.211,0.27,0.413,0.174,0.818,0.835,0.83,0.513,0.867,0.08,0.305,0.864,0.421
1.0,0.622,0.081,0.463,0.517,0.966,0.734,0.18,0.376,0.945,0.396,0.02,0.32,0.363,0.592,0.006,0.271,0.114,0.481,0.907,0.617,0.886,0.138,0.365,0.618,0.91
1.0,0.049,0.154,0.747,0.306,0.393,0.451,0.694,0.491,0.023,0.002,0.939,0.147,0.307,0.166,0.688,0.301,0.526,0.501,0.715,0.885,0.608,0.024,0.265,0.646,0.057
1.0,0.722,0.205,0.768,0.219,0.435,0.328,0.668,0.53,0.392,0.39,0.895,0.596,0.661,0.995,0.574,0.805,0.355,0.171,0.173,0.736,0.578,0.137,0.162,0.72,0.912
0.0,0.392,0.379,0.825,0.316,0.006,0.055,0.71,0.232,0.369,0.826,0.11,0.552,0.49,0.239,0.055,0.6,0.759,0.442,0.883,0.237,0.074,0.022,0.564,0.597,0.192
1.0,0.764,0.977,0.072,0.88,0.808,0.893,0.694,0.088,0.942,0.511,0.988,0.411,0.967,0.553,0.74,0.25,0.949,0.451,0.025,0.681,0.577,0.342,0.279,0.078,0.25
1.0,0.972,0.339,0.141,0.657,0.047,0.617,0.292,0.562,0.073,0.775,0.373,0.506,0.321,0.664,0.501,0.357,0.693,0.054,0.86,0.941,0.675,0.303,0.35,0.806,0.563
0.0,0.059,0.668,0.55,0.373,0.101,0.398,0.41,0.453,0.837,0.709,0.961,0.48,0.746,0.723,0.498,0.56,0.075,0.61,0.926,0.475,0.718,0.996,0.993,0.659,0.279
1.0,0.807,0.213,0.285,0.512,0.072,0.55,0.224,0.501,0.507,0.487,0.987,0.682,0.904,0.428,0.525,0.091,0.316,0.352,0.157,0.65,0.467,0.603,0.726,0.129,0.497
0.0,0.892,0.365,0.248,0.904,0.214,0.247,0.802,0.857,0.417,0.762,0.389,0.51,0.279,0.714,0.362,0.417,0.972,0.693,0.708,0.243,0.83,0.336,0.702,0.588,0.368
0.0,0.498,0.612,0.787,0.179,0.733,0.36,0.309,0.174,0.332,0.554,0.39,0.833,0.208,0.775,0.645,0.017,0.419,0.936,0.225,0.685,0.259,0.158,0.723,0.643,0.029
0.0,0.057,0.501,0.947,0.416,0.089,0.828,0.202,0.074,0.746,0.566,0.749,0.952,0.757,0.353,0.906,0.159,0.726,0.006,0.865,0.487,0.321,0.072,0.44,0.949,0.12
0.0,0.316,0.724,0.82,0.987,0.887,0.335,0.373,0.998,0.457,0.605,0.445,0.475,0.946,0.898,0.398,0.113,0.075,0.823,0.273,0.46,0.154,0.573,0.36,0.923,0.905
1.0,0.345,0.11,0.51,0.398,0.94,0.676,0.327,0.955,0.806,0.374,0.036,0.303,0.282,0.261,0.01,0.616,0.565,0.487,0.179,0.283,0.605,0.727,0.365,0.805,0.011
1.0,0.517,0.893,0.281,0.238,0.202,0.122,0.556,0.58,0.057,0.496,0.318,0.317,0.344,0.481,0.72,0.033,0.324,0.178,0.66,0.738,0.454,0.085,0.417,0.889,0.399
