y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,-3.483,-2.83,1.546,0.504,2.317,-0.132,0.953,1.182,1.914,-3.667
0.0,-4.057,1.651,0.641,-0.128,-3.8,4.028,1.006,5.415,2.006,-1.294
2.0,-2.219,-0.155,-2.071,-0.857,-0.669,-3.231,-2.746,-3.618,-0.806,-2.191
1.0,-1.996,-2.083,-5.241,1.768,0.213,1.603,2.115,3.515,1.903,-0.183
1.0,-5.154,0.891,2.255,-3.005,0.682,-2.1,-0.753,2.754,-3.16,-1.555
2.0,-1.548,-3.631,-2.016,-1.366,2.374,-0.096,-2.437,0.465,-3.677,-3.514
0.0,-0.635,0.52,-1.801,2.013,0.444,0.487,-0.278,1.597,-2.42,-0.159
3.0,-0.132,2.617,1.864,2.813,1.011,-2.717,-0.818,1.776,-1.492,-1.504
2.0,-1.169,-1.23,-0.261,-3.41,0.452,0.461,-1.825,-1.466,-0.052,-4.972
1.0,0.016,-5.309,-3.588,1.126,-0.35,1.868,2.856,1.015,0.194,-1.713
1.0,-1.787,-2.463,-1.803,4.003,-2.305,-0.087,-0.727,3.543,-0.808,-3.891
0.0,3.109,2.51,1.765,3.098,4.158,3.524,-0.22,3.785,1.209,1.687
2.0,-4.481,-0.573,-2.634,-0.897,-1.922,-1.833,-0.336,-1.751,-0.782,-0.673
0.0,-0.379,-1.922,-0.366,-2.818,1.83,1.413,1.823,3.403,3.443,-0.729
0.0,0.887,1.292,2.865,0.945,4.873,0.931,-0.709,3.898,-1.114,1.657
2.0,1.311,-1.562,-1.163,3.484,-2.161,-3.697,-0.826,-1.66,-2.879,2.803
0.0,1.533,2.467,2.464,0.849,4.327,1.085,0.153,3.271,-0.992,2.28
2.0,-1.817,-2.0,-2.994,-2.916,-2.944,0.639,-1.106,-1.042,3.087,0.164
3.0,2.128,0.643,1.301,2.767,1.419,-2.512,-3.372,-1.567,-0.309,3.066
0.0,3.231,-0.601,1.926,0.629,0.186,1.725,-2.031,-0.303,2.845,-0.062
2.0,-3.442,-2.084,-1.308,-4.303,3.007,-0.211,-0.886,1.549,-0.132,-1.878
0.0,-1.361,0.547,4.139,-4.622,-1.082,2.143,-2.464,6.419,2.368,2.179
1.0,-4.642,-2.718,0.719,3.694,-3.162,1.032,2.201,-0.27,-3.564,-2.313
3.0,3.035,2.234,0.319,2.664,-0.276,-2.506,-0.937,-3.328,1.717,1.756
0.0,-0.316,-4.228,0.987,-0.87,2.234,-2.673,1.601,1.89,3.685,-1.322
1.0,-1.229,0.171,3.819,2.354,-1.266,-0.08,-0.288,-3.214,-7.398,-4.761
0.0,-0.005,-1.609,-0.735,-3.715,2.655,3.189,0.062,5.121,4.69,-0.708
3.0,1.267,-1.196,-1.763,2.856,-3.521,2.23,-0.682,0.722,-3.235,-0.555
0.0,-0.801,0.199,2.615,0.449,1.681,-0.003,-1.923,0.102,-0.79,0.795
0.0,3.401,3.213,0.202,1.531,0.572,1.283,-3.077,3.074,3.444,0.795
2.0,-4.758,-2.575,-2.141,-2.733,-5.229,-1.751,0.235,-4.375,-0.718,2.942
2.0,-0.75,-0.074,-4.283,-4.273,-6.509,1.433,-0.316,-4.294,2.499,0.966
1.0,-2.514,-0.263,2.45,1.354,2.45,-4.164,-1.084,3.354,-1.486,-1.719
1.0,-1.851,0.26,0.839,0.667,-2.895,0.353,-0.213,1.364,-4.254,-1.085
0.0,-3.079,0.617,0.988,-0.239,-1.414,1.797,1.347,3.834,2.383,-0.938
0.0,2.691,5.186,1.873,2.761,3.443,-1.804,-2.662,2.531,2.66,-2.432
0.0,2.864,0.601,2.186,0.238,2.342,0.579,0.403,1.03,1.621,-0.557
0.0,-0.347,3.019,0.283,3.934,-2.845,1.103,-5.191,-0.315,3.468,2.366
1.0,-1.856,-1.467,-1.743,0.62,-0.699,1.008,1.196,0.89,-3.032,1.45
0.0,-0.404,1.713,1.676,1.944,4.537,-0.352,-1.581,3.873,-0.762,1.087
2.0,0.347,0.854,-0.778,0.561,-0.459,-1.569,-2.226,-0.421,-1.012,-1.129
1.0,-0.329,-3.891,-0.598,-1.46,-3.985,2.593,0.907,-0.146,-2.754,-4.402
2.0,-1.688,-2.891,-1.114,-3.182,-1.887,-1.018,-0.777,-2.359,2.084,2.285
0.0,-3.296,-2.443,-0.353,-2.491,2.795,4.21,0.746,5.246,3.211,-3.656
1.0,-4.343,0.013,-0.167,-1.369,0.198,-0.323,-0.163,3.597,-2.91,-0.048
3.0,2.348,-0.54,-0.232,0.858,2.824,-0.724,-1.558,0.048,-2.112,2.213
1.0,-2.434,0.752,2.583,-2.54,0.532,-0.14,-1.143,1.927,-1.062,-2.204
1.0,-3.508,3.228,0.98,-0.706,3.704,-4.426,-1.673,4.266,0.232,1.137
2.0,-1.678,-0.138,-0.266,-1.274,-1.859,-2.346,-2.283,-1.053,0.926,1.07
0.0,0.76,3.293,-0.173,-0.052,-0.658,1.107,-2.372,3.812,1.456,2.678
3.0,1.309,1.084,-0.786,4.396,-1.911,-0.184,-0.837,0.091,1.269,2.056
2.0,2.113,-5.233,1.063,-1.229,1.403,1.348,-3.424,0.467,-3.081,-2.74
1.0,-5.437,-2.224,3.4,0.092,2.941,-2.11,1.67,3.385,-1.256,-2.169
2.0,-0.143,-3.562,1.007,-1.278,2.867,-2.243,-2.327,-1.054,-1.274,1.194
2.0,-0.875,-2.714,-2.322,-3.574,0.128,2.781,0.51,2.529,-1.184,-4.184
1.0,-2.306,-1.115,-2.223,5.77,0.676,1.158,2.265,2.395,0.039,-0.521
2.0,2.356,-1.098,-0.566,0.373,1.102,-1.11,-1.994,-1.066,-2.43,0.097
0.0,1.383,2.331,1.408,3.828,0.35,2.475,-3.049,2.484,1.989,1.918
3.0,2.511,1.895,1.344,4.055,0.672,-2.15,-2.48,-1.144,-2.826,0.338
0.0,-2.701,-0.876,1.062,1.205,0.079,2.641,2.617,0.627,1.043,-2.498
3.0,1.932,1.8,0.104,1.987,2.088,-3.062,-1.581,-0.426,0.793,-1.737
1.0,-6.806,1.703,0.323,-3.151,-3.034,-0.412,1.204,4.254,-2.585,-5.891
0.0,-0.116,-1.443,2.969,2.491,4.038,4.173,1.534,0.153,-1.26,3.104
1.0,-3.891,-3.888,-0.442,3.605,0.168,2.034,4.018,-0.463,-2.608,-0.813
2.0,1.208,-3.773,0.524,0.969,1.46,-6.044,0.9,2.606,-0.584,-2.14
1.0,-1.0,2.49,0.728,2.38,3.701,-6.65,-1.187,2.714,2.512,-0.945
1.0,-1.364,3.38,1.892,-4.526,-0.544,-0.673,-1.764,1.121,-0.184,-2.368
0.0,1.703,1.337,1.431,0.157,0.833,2.365,-1.068,1.518,1.021,1.886
2.0,-2.117,0.188,-0.889,0.294,-0.596,-2.597,-2.985,-1.146,1.42,1.926
2.0,2.928,-2.312,-1.613,-1.678,1.73,0.256,-5.523,-0.725,-2.247,-0.443
2.0,1.139,-4.959,-3.902,-1.903,3.606,-0.655,2.491,-1.103,-0.934,-1.082
1.0,-2.609,-3.232,0.467,1.226,-2.667,1.563,1.33,-0.866,-4.305,-2.287
0.0,-0.483,2.779,0.898,0.877,0.473,1.569,-3.014,3.434,-0.141,3.702
2.0,0.04,0.056,-0.06,-2.482,3.594,-1.008,-2.591,-1.513,-0.757,-1.128
2.0,-0.399,-0.122,-1.816,-2.382,-0.776,-0.506,-2.418,-1.071,2.875,1.021
3.0,2.532,2.974,2.422,-0.532,2.142,-1.549,-0.326,-0.638,-4.433,5.601
3.0,0.526,-0.399,2.829,1.92,2.745,-0.753,-3.458,-2.311,-2.229,-0.533
3.0,4.188,2.346,6.155,3.203,-0.074,2.562,-2.754,-4.812,-4.389,4.732
2.0,-2.666,2.191,-4.269,1.438,-0.522,-0.951,1.308,-4.667,-3.48,-2.278
1.0,-1.56,-1.054,-1.984,-0.146,-2.499,2.038,-0.336,3.137,-2.598,-0.283
3.0,2.539,0.377,2.292,0.898,1.301,-2.177,-0.663,-1.699,-2.767,1.905
0.0,1.669,2.1,3.584,2.193,2.711,-3.907,-1.308,-0.454,2.27,-0.159
2.0,-0.191,-4.761,1.609,0.924,-1.232,-6.284,-0.954,3.94,3.141,-0.383
0.0,2.447,0.138,3.905,0.621,2.267,3.599,2.983,-3.713,-0.026,2.553
2.0,-2.416,-1.321,-4.817,-3.734,-1.538,0.407,0.51,-3.158,2.406,0.886
0.0,-4.772,-2.274,4.441,1.272,1.047,-0.891,1.447,1.942,1.091,-0.398
3.0,4.188,2.12,3.77,0.492,1.992,-3.17,-2.138,-4.173,-2.24,3.535
1.0,-2.369,1.658,2.198,-0.228,-4.501,0.967,-1.443,0.757,-5.904,-1.992
1.0,-4.163,1.075,-0.225,-1.317,1.35,0.416,0.163,3.695,-3.109,-1.144
1.0,-0.828,-1.964,-3.87,0.784,-0.792,2.623,3.613,2.975,2.706,-2.284
0.0,-3.027,-0.448,2.099,-3.58,-0.11,2.067,-1.104,4.635,2.97,-1.231
1.0,-2.954,-5.055,-2.644,1.464,-0.735,1.955,4.925,0.22,-0.527,-0.703
1.0,-2.133,-1.299,-1.271,4.556,-0.16,-0.702,-2.998,3.0,-3.352,-4.284
0.0,-0.296,-0.212,1.25,-1.505,0.115,3.204,2.839,-0.959,-0.532,-2.042
2.0,3.701,0.194,0.223,-1.22,1.903,1.442,-4.278,-0.583,-2.338,-2.784
1.0,-0.943,0.7,1.239,-1.675,-0.473,-0.357,-2.352,1.188,-4.912,-2.473
0.0,1.902,2.583,1.643,1.195,2.707,-0.971,-0.467,1.864,1.89,1.298
0.0,4.033,1.792,2.159,2.678,2.314,2.335,-2.279,2.106,3.502,-0.313
0.0,2.166,3.508,-2.295,-0.473,-0.118,1.055,-2.389,6.905,2.011,2.118
2.0,-0.403,-2.596,-0.698,-2.641,6.872,-0.443,-5.538,3.028,-3.274,0.44
1.0,-1.993,1.37,0.726,-1.133,1.774,0.109,-0.35,0.73,-0.194,-3.002
0.0,3.266,3.552,1.982,1.978,3.004,-1.383,-2.0,1.891,2.672,-0.918
1.0,0.983,-0.688,-2.665,-0.7,-1.562,1.055,-0.891,0.766,-1.708,-1.218
0.0,-5.886,0.765,4.799,-2.214,-1.614,1.537,-1.539,4.169,1.035,-0.873
1.0,-0.138,-2.949,-3.0,2.97,0.398,3.187,3.914,0.372,1.86,-4.366
2.0,-2.744,-0.383,-3.681,-3.213,-2.099,0.416,-0.63,-2.647,2.009,0.233
3.0,2.694,2.168,1.509,3.014,-0.277,-2.314,-2.681,-2.229,-1.187,2.646
0.0,-1.348,-2.841,1.382,0.019,4.147,1.231,2.348,-1.786,0.929,-3.369
2.0,-0.711,-5.179,1.002,1.092,1.776,-4.241,-2.153,-0.919,-2.677,2.433
1.0,3.288,2.34,-0.08,0.411,2.661,-1.155,-3.948,-0.632,-2.524,-0.115
3.0,0.814,0.278,-0.576,0.989,2.337,-1.505,-0.319,-0.157,-2.844,-0.049
0.0,-0.171,1.051,0.359,1.499,-0.355,2.261,-3.226,1.545,1.333,1.905
3.0,0.882,2.994,-4.275,-0.354,-3.783,-1.084,0.199,-0.361,-0.073,4.374
2.0,-1.824,-1.748,-2.291,-2.464,1.808,-0.291,-2.123,-1.073,-1.241,0.064
1.0,-1.087,1.714,3.668,-2.327,0.645,-1.671,-2.342,2.924,-2.233,-2.83
1.0,0.641,3.364,3.319,-4.119,-0.14,-1.431,-4.336,0.178,-6.044,-3.914
1.0,-1.661,-0.476,-0.456,3.423,1.115,0.4,1.803,0.127,-2.878,0.036
3.0,-1.077,1.99,1.069,2.276,-0.008,-1.649,-1.036,-0.852,-1.624,0.138
0.0,2.2,1.534,-1.502,0.613,-1.959,4.501,-3.913,3.359,3.427,2.025
3.0,-1.155,4.379,3.043,1.305,0.36,-0.032,-1.745,-2.808,-1.205,1.238
3.0,-5.55,1.469,3.966,2.249,-0.96,-0.294,-4.04,-0.893,-0.667,3.623
3.0,-4.123,1.169,2.125,1.752,-0.389,1.489,-2.945,-1.015,-0.557,1.071
3.0,-2.606,-0.701,5.256,3.253,-1.312,-0.57,-1.358,0.224,-1.506,2.278
0.0,0.763,2.518,2.136,3.035,6.171,-1.927,-0.317,3.0,0.767,-0.432
1.0,0.348,-2.774,-1.234,1.766,-0.656,0.927,0.406,1.135,-2.062,-3.218
3.0,-3.411,2.455,1.452,3.427,-0.896,1.745,-3.864,-0.038,-0.563,-0.975
1.0,-1.985,-0.672,-0.396,0.099,-3.863,2.378,2.725,1.563,-0.424,-2.936
0.0,2.133,2.331,2.861,1.965,3.552,1.518,-1.274,1.391,0.062,1.251
1.0,1.242,1.072,-3.97,0.791,0.274,0.893,-1.245,2.616,-0.897,-0.387
3.0,2.074,1.975,-2.35,-1.595,-0.348,2.244,2.623,-0.953,-2.968,4.168
0.0,3.452,2.303,3.362,6.636,4.7,-0.847,-0.107,-1.689,4.509,-3.31
0.0,-0.206,-2.766,1.59,-1.053,2.482,-0.862,4.37,-0.634,2.046,0.493
3.0,-3.744,-0.174,2.294,-1.031,2.503,0.967,0.352,1.331,2.206,-1.015
3.0,1.232,0.763,1.495,1.307,1.832,0.034,-1.56,-3.14,-0.331,0.537
0.0,3.954,3.012,0.493,0.286,1.189,2.487,-1.803,4.414,2.143,0.303
3.0,0.72,-2.266,-0.049,2.723,0.957,-5.58,0.438,0.848,-1.76,-2.574
1.0,-1.039,1.14,0.545,2.44,5.53,-3.427,-1.25,1.711,-1.412,0.01
0.0,-1.654,-2.59,4.151,-2.243,2.742,3.129,-2.039,-0.456,-1.411,-5.035
1.0,-2.391,3.763,1.754,-0.84,1.17,-3.642,-1.753,5.151,-2.43,-3.305
0.0,0.52,3.175,3.066,3.945,4.692,-1.391,-1.855,2.785,0.831,0.037
0.0,0.416,0.278,0.709,-0.127,-0.86,-3.995,-3.944,2.271,2.24,-1.44
1.0,-1.538,0.391,1.986,-1.792,0.851,-0.89,-1.321,0.191,-2.91,-2.962
2.0,-2.49,0.016,-0.765,-2.936,2.151,-1.049,-0.304,-1.178,-0.56,-4.754
3.0,-2.841,3.845,3.068,2.054,-3.386,0.612,-3.833,-4.268,-0.191,-1.099
1.0,0.599,-1.392,0.815,-4.205,2.314,-0.268,2.021,4.793,4.711,3.136
3.0,-3.019,1.904,0.164,2.539,-2.816,0.564,-3.315,-1.232,1.249,0.257
3.0,1.906,3.013,2.001,2.032,1.373,-2.259,-2.031,-2.004,-2.164,0.219
3.0,3.436,2.131,0.752,0.25,2.464,-2.393,-0.831,-1.263,-2.209,1.41
1.0,0.798,0.45,0.631,1.054,3.667,-2.812,-2.379,-0.46,1.903,1.752
1.0,-2.264,-0.651,2.148,1.379,-3.415,1.79,2.363,0.341,-2.526,-5.193
1.0,1.646,1.301,-5.414,-0.562,1.653,0.745,1.802,1.865,1.31,2.513
0.0,1.144,1.004,2.383,0.933,5.361,1.453,0.471,3.812,-1.015,1.231
1.0,-1.615,-0.625,-2.436,-1.744,-5.695,4.724,1.312,2.927,0.773,-1.489
2.0,-3.378,-0.709,-4.24,-0.991,1.486,-1.105,-1.965,1.547,-3.277,-2.631
1.0,2.547,2.171,3.079,-2.436,2.814,-2.883,-4.245,-0.359,-3.12,1.134
0.0,-0.195,-1.028,1.058,-1.307,1.639,1.775,1.605,2.643,0.508,-0.526
0.0,0.971,2.303,1.97,2.869,0.746,2.548,-1.934,-0.782,1.874,1.324
2.0,0.174,-3.37,-0.076,1.008,-0.989,-2.463,-4.326,1.526,3.898,3.361
1.0,-3.118,1.98,-0.191,-2.813,-0.863,0.509,-0.423,3.269,-1.594,-1.738
0.0,1.931,2.448,2.745,2.259,2.173,-0.456,-2.588,0.433,2.091,1.458
1.0,-0.118,1.033,-2.465,1.197,-0.937,0.832,-0.325,2.75,-1.596,0.834
3.0,-0.91,2.957,-0.42,-2.344,-2.853,-1.632,0.518,-3.172,-1.304,5.176
2.0,0.45,-1.87,-1.244,-3.683,4.041,0.216,-4.857,0.771,-1.277,-0.964
0.0,3.321,1.829,2.609,1.971,5.986,-1.069,-0.21,2.093,2.785,-1.806
2.0,-2.426,-1.958,0.249,1.331,0.09,-4.572,3.228,-4.733,-1.465,-0.958
2.0,-0.141,-2.618,0.355,-1.89,0.424,-1.821,-2.857,0.5,-0.353,-0.429
0.0,2.396,-0.534,0.514,0.666,3.99,4.279,-1.267,5.021,1.429,-0.238
3.0,-2.385,0.704,0.516,1.556,-2.855,-0.14,-1.808,-1.011,-0.52,1.709
0.0,-0.157,-0.558,1.767,-3.209,0.527,-0.221,0.344,0.715,2.387,-0.715
0.0,0.569,0.807,-0.131,-3.87,-0.841,2.255,1.929,0.463,1.36,-1.242
0.0,0.316,-2.623,4.991,-4.414,2.396,-2.617,1.326,-0.349,-0.573,1.248
1.0,-2.282,-0.007,0.929,-1.559,1.552,0.793,-1.289,1.806,-1.024,0.695
2.0,-2.35,-0.522,-1.847,-2.014,-1.695,-0.018,-3.178,-1.77,3.006,2.627
0.0,-3.091,-2.845,0.472,0.22,3.093,-1.254,4.253,3.759,4.212,1.693
2.0,0.621,-2.445,-0.988,0.417,4.79,-2.382,-0.784,0.442,-2.192,-0.352
1.0,0.557,2.996,0.321,1.184,1.77,-5.659,-2.623,0.495,1.886,-1.552
1.0,0.702,3.088,0.369,-0.785,0.29,-1.966,-2.859,3.434,-1.588,-0.812
1.0,-3.133,-5.342,-3.293,1.357,-0.843,2.451,3.779,2.26,-0.325,-2.133
1.0,-3.149,-1.921,-2.717,6.065,2.557,-0.107,3.268,1.481,-0.106,0.396
1.0,-0.861,0.864,0.059,0.067,-3.577,2.007,2.242,1.932,-0.316,-2.963
3.0,-1.671,0.266,2.206,1.029,-3.448,-0.198,0.247,-2.792,-0.867,1.896
2.0,-1.467,1.137,-1.577,-2.229,-2.248,-2.268,-1.025,-0.235,2.852,-1.435
1.0,-4.508,-4.609,0.613,2.713,-2.809,1.262,2.502,1.259,-2.805,-2.808
0.0,-2.037,0.995,0.785,0.664,1.219,-1.462,-2.832,2.074,-0.108,2.057
3.0,3.759,-0.074,-0.626,0.151,4.166,1.63,-3.081,-2.213,-0.772,1.595
1.0,0.114,-0.915,-1.651,-0.569,-2.883,1.756,1.058,2.202,-1.265,-0.271
2.0,-4.116,-1.909,0.683,0.579,-0.728,-3.808,-3.314,0.152,1.323,2.737
2.0,-2.944,-3.105,-1.438,-1.78,2.625,-1.357,-1.159,2.589,-2.393,-1.66
3.0,-1.823,2.593,3.769,2.577,-0.718,1.779,-3.589,-1.2,-3.705,-1.094
2.0,0.69,-1.639,-1.584,-1.827,-0.005,-2.017,0.172,-1.327,0.171,-0.185
0.0,0.671,-3.229,2.292,-1.956,2.055,2.986,-0.263,0.294,-0.202,-3.992
0.0,-1.366,-0.242,2.433,0.475,1.682,-0.462,2.672,0.499,1.584,1.829
1.0,-1.859,-2.252,0.911,-0.093,-5.263,2.182,2.686,1.548,-1.281,-4.441
3.0,-3.608,2.423,-0.128,-0.46,1.395,0.206,0.14,1.713,-0.238,1.034
3.0,-1.689,1.417,2.381,2.157,0.131,-0.338,-1.093,1.384,-0.389,2.803
0.0,2.948,1.44,0.232,1.99,1.656,1.652,-2.488,3.832,2.868,0.148
1.0,0.701,-0.916,2.74,0.852,4.372,-3.106,-0.75,-0.688,1.777,0.216
0.0,0.253,2.809,0.724,1.095,2.269,2.382,-0.803,4.145,0.546,1.609
3.0,-1.498,0.251,1.895,2.837,-2.881,4.272,-3.517,-2.734,-5.002,-1.149
1.0,-0.257,2.297,1.673,-0.736,2.243,-1.989,-2.551,2.177,-1.859,-1.361
2.0,0.136,2.401,-1.859,-4.394,-3.875,-0.765,-1.861,-2.535,4.861,1.348
3.0,-0.094,0.016,0.115,2.819,2.333,-2.25,-2.995,1.295,-0.352,-2.534
2.0,-1.235,0.999,-0.716,-2.584,-6.641,-1.421,-2.657,-2.113,4.154,1.999
3.0,-1.763,2.323,1.175,4.314,0.355,-1.24,-1.634,0.637,0.424,-2.732
2.0,-0.556,-1.959,-2.016,-0.164,-0.285,-1.823,-1.092,-0.104,0.743,-0.186
0.0,-1.81,-3.807,-0.455,-0.185,4.583,0.284,2.344,2.929,4.219,-1.668
3.0,2.377,2.232,1.314,3.019,0.625,-0.875,-2.506,-1.987,-2.895,3.182
2.0,0.036,-2.287,-1.86,-1.636,-0.557,0.025,-1.556,-0.989,-1.162,-1.132
1.0,-1.371,0.947,4.232,-2.419,1.329,-2.58,-1.516,2.888,-1.449,-1.409
3.0,-2.972,1.668,3.973,2.06,0.352,0.358,-2.407,-0.035,-1.261,2.226
2.0,-2.084,-1.273,0.811,-0.679,3.038,-2.907,-0.623,-2.671,-1.553,-1.366
3.0,-2.614,0.337,1.876,4.342,-1.158,2.736,-3.006,0.188,-0.108,-1.04
0.0,0.512,2.463,1.38,0.961,2.716,2.589,-1.4,3.861,0.168,2.591
2.0,-1.495,-6.083,-0.548,-1.553,-0.86,-1.865,-2.034,-1.582,2.54,5.869
2.0,-3.097,-2.899,-1.341,-3.483,-0.233,-1.528,-0.323,-2.573,1.026,-1.792
1.0,-3.301,2.931,2.768,-2.793,1.359,-1.808,-1.988,2.676,-5.323,-4.368
2.0,-2.537,-2.666,-2.569,-2.327,0.048,0.939,-1.39,-2.295,0.179,1.735
1.0,0.014,-1.483,-0.918,-0.715,-2.369,2.833,2.863,1.394,-0.741,-2.916
3.0,1.038,3.395,-2.357,-0.145,-4.396,0.746,-0.29,-3.248,-1.427,2.207
1.0,-3.497,-1.539,2.222,-0.953,3.228,-2.277,0.213,-0.325,0.916,0.286
0.0,-3.831,-1.124,0.93,2.541,-0.348,1.257,3.911,-0.018,1.165,-2.688
3.0,1.216,1.641,1.341,1.687,1.035,-3.347,-1.843,-1.061,-0.952,2.095
0.0,4.222,1.123,1.437,2.793,-0.486,1.911,-2.686,1.943,4.358,0.022
2.0,-1.252,-0.321,-2.731,-3.932,-2.055,-0.57,0.065,-2.974,1.435,0.647
2.0,-0.444,-4.222,-2.366,0.205,3.398,-0.755,-1.182,-0.887,-0.157,1.896
1.0,0.942,2.98,-1.117,-0.201,1.889,-0.854,-4.403,3.723,-2.035,3.916
2.0,-1.129,0.884,0.073,0.758,-2.623,-3.686,-2.565,0.851,1.416,-0.797
